Model,Accuracy,Precision,Recall
Support Vector Machine,0.9476453427797458,0.9983416252072969,0.37484433374844334
K-Nearest Neighbors,0.9553552823504897,0.8741258741258742,0.5448318804483188
Decision Tree,0.9524901021046052,0.7128834355828221,0.7235367372353674
Random Forest,0.9701500312565118,0.9582963620230701,0.6724782067247821
Naive Bayes,0.9008647634923942,0.3835294117647059,0.3044831880448319
